Typologie du marché,Montant du contrat,Garantie,Délai de réalisation,Expérience fournisseur,Nombre de projets similaires,Notation interne,Chiffre d'affaire,Situation fiscale,Fournisseur blacklisté,Visa (Oui/Non)
Services,4753289,Caution,3,9,3,16,20854166,Non conforme,Oui,Non
Fournitures,4150992,Retenu,4,3,0,13,14753331,Conforme,Oui,Non
Services,6269139,Aucune,6,3,1,13,36306117,Non conforme,Non,Non
Fournitures,7157320,Caution,3,6,0,17,30985364,Non conforme,Non,Oui
Services,4375829,Aucune,3,10,3,18,16138317,Conforme,Oui,Non
Fournitures,6338208,Retenu,6,9,1,12,25228496,Non conforme,Non,Non
Fournitures,4714609,Caution,4,8,1,13,27277313,Conforme,Non,Oui
Services,5500872,Caution,8,6,0,18,31858706,Non conforme,Oui,Non
Services,5920200,Aucune,4,9,3,12,12992372,Non conforme,Oui,Non
Fournitures,9534162,Caution,4,2,0,13,42954264,Conforme,Non,Oui
Fournitures,7274043,Retenu,4,6,1,18,43034808,Conforme,Non,Oui
Fournitures,7924639,Retenu,8,10,4,13,18175712,Conforme,Oui,Non
Travaux,6922171,Aucune,6,10,1,20,32033473,Non conforme,Oui,Non
Services,7074213,Aucune,6,3,3,16,39168679,Conforme,Oui,Non
Travaux,6860623,Retenu,8,2,3,14,23619927,Non conforme,Oui,Non
Travaux,6689745,Retenu,4,4,0,11,26936121,Non conforme,Non,Non
Services,6474431,Caution,4,2,5,11,37113249,Conforme,Oui,Non
Services,4333356,Retenu,4,6,0,10,33746562,Non conforme,Non,Non
Fournitures,5645988,Retenu,3,8,1,19,18668944,Non conforme,Non,Oui
Travaux,9226244,Retenu,4,8,0,18,17575892,Non conforme,Non,Oui
Fournitures,4586966,Aucune,6,3,1,13,43351375,Non conforme,Non,Non
Travaux,9872800,Retenu,8,6,5,16,49167577,Conforme,Oui,Non
Fournitures,7349357,Retenu,3,5,4,16,35985072,Conforme,Oui,Non
Travaux,7945875,Caution,8,10,0,16,19370298,Non conforme,Oui,Non
Travaux,9236991,Caution,8,5,3,19,18208474,Conforme,Non,Oui
Services,6423163,Caution,4,1,0,20,31380757,Conforme,Non,Oui
Travaux,4114765,Retenu,3,9,1,12,10702670,Non conforme,Oui,Non
Fournitures,7567088,Retenu,8,7,3,19,10681847,Conforme,Non,Oui
