Typologie du marché,Montant du contrat,Garantie,Délai de réalisation,Expérience fournisseur,Nombre de projets similaires,Notation interne,Chiffre d'affaire,Situation fiscale,Fournisseur blacklisté,Visa (Oui/Non)
Fournitures,9403429,Caution,4,5,5,11,24914826,Non conforme,Non,Non
Etude,4725479,Retenu,4,10,1,10,33895983,Conforme,Non,Oui
Etude,5522970,Aucune,8,6,2,13,19781713,Non conforme,Non,Non
Fournitures,7982771,Caution,4,7,0,12,34032663,Non conforme,Non,Non
Fournitures,5235903,Aucune,8,4,2,15,22910985,Non conforme,Non,Oui
Fournitures,4330641,Caution,6,8,3,16,32303109,Conforme,Oui,Non
Etude,7430711,Retenu,3,10,2,15,38970086,Non conforme,Non,Oui
Fournitures,4020067,Caution,8,4,3,10,42906474,Conforme,Non,Oui
Services,5347886,Retenu,6,8,1,14,41755555,Non conforme,Non,Oui
Services,8009031,Aucune,3,4,5,17,12444849,Non conforme,Non,Oui
Fournitures,6404175,Retenu,8,4,4,16,42020805,Conforme,Non,Oui
Etude,5234883,Aucune,4,7,4,15,30012743,Non conforme,Oui,Non
Travaux,8036613,Caution,4,2,0,10,16453870,Conforme,Oui,Non
Etude,9119643,Aucune,6,9,3,13,12734001,Conforme,Non,Non
Fournitures,8830971,Aucune,3,10,1,15,31430849,Conforme,Non,Non
Services,8361689,Retenu,3,8,4,20,37014743,Conforme,Oui,Non
Fournitures,6744741,Retenu,3,8,1,17,28595135,Non conforme,Non,Oui
Services,9267463,Retenu,3,1,3,15,37437958,Non conforme,Oui,Non
Services,5551176,Caution,8,7,2,14,34728645,Non conforme,Non,Oui
Travaux,9754862,Aucune,8,1,2,13,46293679,Conforme,Oui,Non
Fournitures,4772147,Retenu,4,7,1,14,47564188,Non conforme,Oui,Non
Travaux,4758954,Aucune,8,4,3,17,23053660,Non conforme,Oui,Non
Etude,8703538,Aucune,6,5,1,13,21903364,Conforme,Non,Non
Services,6304290,Retenu,8,1,3,11,19667145,Non conforme,Oui,Non
Fournitures,8775903,Retenu,4,6,0,19,37809088,Conforme,Non,Oui
Services,6530352,Caution,3,3,0,10,30596980,Conforme,Non,Oui
Etude,9083885,Retenu,6,3,1,19,13660643,Non conforme,Non,Oui
Travaux,4442310,Retenu,6,9,0,20,12849437,Non conforme,Non,Oui
Services,6875704,Caution,3,10,1,17,28110930,Non conforme,Oui,Non
Etude,8062265,Aucune,6,1,3,15,33448432,Non conforme,Non,Non
Fournitures,9068046,Retenu,8,7,5,15,23942455,Non conforme,Non,Oui
Travaux,5006755,Retenu,4,2,2,11,49788689,Non conforme,Non,Non
Services,7259259,Aucune,8,5,1,10,49525511,Non conforme,Non,Non
Etude,4197598,Caution,3,4,1,11,21442131,Non conforme,Non,Non
Fournitures,7914387,Caution,8,6,5,14,37023892,Non conforme,Non,Oui
Services,7761262,Caution,3,7,5,18,12628763,Conforme,Non,Oui
Travaux,7738284,Aucune,8,9,2,13,36594983,Conforme,Oui,Non
Etude,9879160,Caution,4,6,1,10,26593317,Non conforme,Non,Non
Services,7934594,Retenu,6,7,4,10,15843722,Non conforme,Oui,Non
Services,5970904,Aucune,6,9,1,15,23605886,Conforme,Non,Oui
Travaux,8029790,Aucune,8,2,0,17,48973380,Conforme,Non,Oui
Fournitures,6660284,Retenu,6,3,3,10,11052612,Non conforme,Oui,Non
Fournitures,6106212,Aucune,6,6,2,15,30020931,Conforme,Oui,Non
Services,5025366,Aucune,6,10,3,10,10250864,Conforme,Oui,Non
Fournitures,7901431,Retenu,6,6,0,20,18518997,Conforme,Non,Oui
Travaux,5585442,Caution,4,3,3,11,39808620,Conforme,Non,Oui
Travaux,4807227,Aucune,3,1,0,11,30862148,Non conforme,Non,Non
